qid,granite_dense,gte_dense,bm25
0,0.75,0.75,0.75
1,0.0,0.0,0.0
10,0.0,0.0,0.25
100,0.0,0.0,0.0
1000,0.25,0.0,0.0
1001,0.75,0.75,0.5
1002,0.75,1.0,0.75
1003,1.0,1.0,0.75
1004,1.0,1.0,1.0
1005,0.0,0.0,0.0
1006,0.75,0.5,0.0
1007,0.75,1.0,1.0
1008,0.25,0.25,0.0
1009,0.0,0.0,0.0
101,0.25,0.25,0.75
1010,0.75,0.5,0.75
1011,0.0,0.25,0.0
1012,0.0,0.5,0.0
1013,0.25,0.5,0.0
1014,0.25,0.5,0.0
1015,0.0,0.0,0.25
1016,0.75,0.75,0.25
1017,0.25,0.25,0.0
1018,0.0,0.0,0.0
1019,0.75,0.75,0.75
102,1.0,0.75,0.25
1020,0.0,0.0,0.0
1021,0.25,0.25,0.25
1022,1.0,1.0,1.0
1023,0.75,1.0,0.75
1024,0.5,0.25,0.5
1025,0.0,0.0,0.0
1026,0.75,0.75,0.75
1027,0.25,0.5,0.5
1028,0.5,0.75,0.25
1029,0.75,0.75,1.0
103,0.5,0.5,0.5
1030,0.25,0.0,0.25
1031,0.25,0.25,0.25
1032,0.0,0.0,0.0
1033,0.25,0.25,0.5
1034,0.0,0.0,0.0
1035,0.25,0.25,0.25
1036,1.0,0.75,1.0
1037,1.0,1.0,1.0
1038,0.0,0.0,0.25
1039,0.75,0.5,0.5
104,0.0,0.0,0.0
1040,0.0,0.0,0.0
1041,1.0,1.0,1.0
1042,0.75,0.75,0.25
1043,0.75,0.75,0.75
1044,0.75,1.0,1.0
1045,0.5,0.5,0.5
1046,0.0,0.0,0.0
1047,0.5,0.75,0.0
1048,0.5,0.5,0.25
1049,1.0,1.0,1.0
105,0.25,0.25,0.0
1050,0.5,0.5,0.75
1051,1.0,1.0,1.0
1052,0.0,0.25,0.0
1053,0.5,0.5,0.5
1054,1.0,1.0,0.5
1055,0.25,0.25,0.0
1056,0.5,0.5,0.5
