qid,granite_dense,gte_dense,bm25
0,1.0,1.0,1.0
1,0.4375,0.0,0.0
10,1.0,1.0,1.0
100,0.7777777777777778,0.5784313725490197,0.0
1000,0.627906976744186,1.0,0.8333333333333334
1001,1.0,1.0,1.0
1002,1.0,1.0,1.0
1003,0.5263157894736842,1.0,0.8709677419354839
1004,1.0,1.0,1.0
1005,1.0,1.0,0.0
1006,1.0,1.0,0.0
1007,1.0,1.0,1.0
1008,1.0,1.0,0.0
1009,0.0,0.0,0.5
101,1.0,1.0,1.0
1010,1.0,1.0,1.0
1011,1.0,1.0,1.0
1012,0.5483870967741935,1.0,0.38461538461538464
1013,1.0,1.0,0.0
1014,1.0,1.0,0.36363636363636365
1015,1.0,1.0,1.0
1016,1.0,1.0,1.0
1017,1.0,1.0,0.0
1018,0.0,0.4,0.0
1019,0.55,0.55,0.6551724137931034
102,1.0,1.0,1.0
1020,1.0,1.0,0.0
1021,1.0,1.0,1.0
1022,1.0,1.0,1.0
1023,1.0,1.0,1.0
1024,1.0,1.0,1.0
1025,0.3333333333333333,1.0,1.0
1026,1.0,1.0,1.0
1027,0.41379310344827586,0.6285714285714286,0.6285714285714286
1028,1.0,1.0,1.0
1029,1.0,1.0,1.0
103,0.5957446808510638,0.0,0.0
1030,1.0,1.0,0.696969696969697
1031,1.0,1.0,1.0
1032,0.29577464788732394,0.46511627906976744,0.6862745098039216
1033,1.0,1.0,1.0
1034,1.0,1.0,1.0
1035,1.0,1.0,1.0
1036,1.0,1.0,1.0
1037,1.0,1.0,1.0
1038,1.0,1.0,1.0
1039,1.0,1.0,1.0
104,1.0,1.0,1.0
1040,1.0,1.0,0.0
1041,1.0,1.0,1.0
1042,1.0,1.0,1.0
1043,1.0,1.0,1.0
1044,1.0,1.0,1.0
1045,1.0,1.0,1.0
1046,0.0,0.0,0.0
1047,1.0,1.0,0.0
1048,1.0,1.0,1.0
1049,1.0,1.0,1.0
105,1.0,1.0,0.49193548387096775
1050,1.0,1.0,1.0
1051,1.0,1.0,1.0
1052,0.0,0.0,0.0
1053,0.4,0.4,0.43478260869565216
1054,1.0,1.0,1.0
1055,1.0,1.0,0.0
1056,1.0,1.0,1.0
1057,0.44086021505376344,1.0,0.6027397260273972
1058,1.0,1.0,1.0
1059,1.0,1.0,1.0
106,1.0,1.0,1.0
1060,1.0,1.0,1.0
1061,1.0,1.0,1.0
1062,0.0,0.0,0.0
1063,0.9032258064516129,1.0,0.825
1064,1.0,1.0,1.0
1065,1.0,1.0,1.0
1066,1.0,1.0,1.0
1067,1.0,1.0,1.0
1068,1.0,1.0,0.17391304347826086
1069,1.0,1.0,0.0
107,1.0,1.0,1.0
1070,0.5462184873949579,0.3333333333333333,1.0
1071,0.875,0.8571428571428571,0.75
1072,0.3333333333333333,1.0,0.0
1073,1.0,1.0,1.0
1074,1.0,0.8571428571428571,1.0
1075,1.0,1.0,0.0
1076,1.0,1.0,1.0
1077,1.0,1.0,0.0
1078,0.0,0.0,1.0
1079,0.0,0.0,0.5454545454545454
108,1.0,1.0,1.0
1080,1.0,1.0,1.0
1081,1.0,1.0,1.0
1082,0.0,0.7105263157894737,0.0
1083,0.0,0.0,0.0
1084,0.782608695652174,0.5495495495495496,1.0
1085,1.0,1.0,0.2857142857142857
1086,1.0,1.0,1.0
1087,1.0,1.0,1.0
1088,1.0,1.0,1.0
1089,1.0,1.0,1.0
109,1.0,1.0,1.0
1090,1.0,1.0,0.0
1091,1.0,1.0,1.0
1092,1.0,1.0,0.1111111111111111
1093,1.0,1.0,1.0
1094,1.0,0.5714285714285714,1.0
1095,1.0,1.0,1.0
1096,1.0,1.0,1.0
1097,0.2,0.9038461538461539,0.5625
1098,0.2,0.7142857142857143,0.4827586206896552
1099,0.3333333333333333,0.3793103448275862,0.0
11,1.0,1.0,1.0
110,1.0,1.0,1.0
1100,0.21568627450980393,0.2857142857142857,0.35
1101,1.0,0.5,0.3
1102,0.5,0.5,0.5
1103,1.0,1.0,1.0
1104,1.0,1.0,0.0
1105,1.0,1.0,1.0
1106,1.0,1.0,1.0
1107,1.0,1.0,1.0
1108,1.0,1.0,1.0
1109,0.391304347826087,0.5882352941176471,1.0
111,1.0,1.0,1.0
1110,1.0,1.0,0.0
1111,0.0,1.0,1.0
1112,0.4864864864864865,0.6428571428571429,0.0
1113,0.3333333333333333,0.0,0.0
1114,1.0,1.0,1.0
1115,1.0,1.0,1.0
1116,1.0,1.0,1.0
1117,1.0,1.0,1.0
1118,1.0,1.0,1.0
1119,1.0,1.0,1.0
112,0.4375,0.0,0.4666666666666667
1120,1.0,1.0,1.0
1121,1.0,1.0,1.0
1122,0.0,0.3333333333333333,1.0
1123,1.0,1.0,1.0
1124,1.0,0.0,0.0
1125,0.3333333333333333,0.2,0.3333333333333333
1126,1.0,1.0,1.0
1127,1.0,1.0,1.0
1128,1.0,1.0,1.0
1129,1.0,1.0,0.0
113,1.0,1.0,1.0
1130,0.640625,1.0,1.0
1131,1.0,1.0,1.0
1132,1.0,1.0,0.0
1133,1.0,1.0,1.0
1134,1.0,1.0,0.0
1135,1.0,1.0,1.0
1136,0.5111111111111111,1.0,1.0
1137,0.0,0.0,0.0
1138,0.0,1.0,1.0
1139,0.2857142857142857,0.35714285714285715,0.0
114,1.0,0.5,0.7222222222222222
1140,1.0,1.0,1.0
1141,1.0,1.0,1.0
1142,0.0,0.41379310344827586,0.46296296296296297
1143,1.0,1.0,0.6666666666666666
1144,1.0,1.0,0.5
1145,1.0,1.0,1.0
1146,1.0,1.0,1.0
1147,1.0,1.0,1.0
1148,1.0,1.0,1.0
1149,1.0,1.0,1.0
115,0.7857142857142857,0.5357142857142857,1.0
1150,1.0,1.0,1.0
1151,1.0,1.0,1.0
1152,1.0,1.0,1.0
1153,1.0,1.0,1.0
1154,1.0,1.0,1.0
1155,1.0,1.0,1.0
1156,1.0,1.0,1.0
1157,1.0,1.0,1.0
1158,1.0,1.0,1.0
1159,1.0,1.0,1.0
116,0.9,1.0,1.0
1160,1.0,1.0,1.0
1161,1.0,1.0,1.0
1162,1.0,0.0,0.0
1163,1.0,1.0,1.0
1164,1.0,1.0,1.0
1165,1.0,1.0,1.0
1166,1.0,1.0,1.0
1167,0.0,0.0,0.0
1168,1.0,1.0,1.0
1169,1.0,1.0,0.0
117,1.0,1.0,1.0
1170,1.0,1.0,1.0
1171,0.8604651162790697,1.0,0.0
