qid,granite_dense,gte_dense,bm25
0,1.0,1.0,1.0
1,0.0,0.0,0.0
10,1.0,1.0,1.0
100,0.03773584905660377,0.027972027972027972,0.0
1000,0.05714285714285715,1.0,0.0
1001,1.0,1.0,0.0
1002,1.0,1.0,1.0
1003,0.20689655172413793,0.0,0.08888888888888888
1004,1.0,1.0,1.0
1005,0.0,0.0,0.0
1006,1.0,1.0,0.0
1007,1.0,1.0,1.0
1008,1.0,1.0,0.0
1009,0.0,0.0,0.0
101,1.0,0.28571428571428575,1.0
1010,1.0,1.0,1.0
1011,1.0,1.0,1.0
1012,0.0,0.6666666666666666,0.0
1013,1.0,1.0,1.0
1014,1.0,1.0,0.125
1015,1.0,1.0,1.0
1016,1.0,1.0,1.0
1017,1.0,1.0,0.0
1018,0.0,0.16666666666666669,0.0
1019,0.16,0.16,0.04938271604938272
102,1.0,1.0,1.0
1020,1.0,1.0,1.0
1021,1.0,1.0,1.0
1022,1.0,1.0,1.0
1023,1.0,1.0,1.0
1024,1.0,1.0,1.0
1025,0.25,0.0,0.6666666666666666
1026,1.0,1.0,1.0
1027,0.0,0.04166666666666667,0.04166666666666667
1028,1.0,1.0,1.0
1029,1.0,1.0,1.0
103,0.06153846153846154,0.0,0.0
1030,0.0,0.0,0.0
1031,1.0,1.0,1.0
1032,0.01834862385321101,0.029411764705882353,0.028169014084507043
1033,1.0,1.0,1.0
1034,1.0,0.6666666666666666,0.5714285714285715
1035,1.0,1.0,1.0
1036,1.0,1.0,1.0
1037,1.0,1.0,1.0
1038,1.0,1.0,1.0
1039,1.0,1.0,1.0
104,0.0,0.0,0.0
1040,1.0,1.0,0.0
1041,1.0,1.0,1.0
1042,1.0,1.0,1.0
1043,1.0,1.0,1.0
1044,1.0,1.0,1.0
1045,1.0,1.0,1.0
1046,1.0,1.0,1.0
1047,1.0,1.0,0.0
1048,1.0,1.0,1.0
1049,1.0,1.0,1.0
105,1.0,1.0,0.03296703296703296
1050,1.0,1.0,1.0
1051,1.0,1.0,1.0
1052,0.0,0.0,0.0
1053,0.0,0.0,0.05882352941176471
1054,1.0,1.0,1.0
1055,1.0,1.0,0.0
1056,1.0,1.0,1.0
1057,0.02580645161290323,0.0,0.034782608695652174
1058,1.0,1.0,0.5
1059,1.0,1.0,1.0
106,1.0,1.0,1.0
1060,1.0,1.0,1.0
1061,1.0,1.0,1.0
1062,1.0,1.0,1.0
1063,0.0,0.0,0.0
1064,1.0,1.0,1.0
1065,1.0,1.0,0.4
1066,1.0,1.0,1.0
1067,1.0,1.0,1.0
1068,1.0,1.0,0.03125
1069,1.0,0.0,1.0
107,0.6666666666666666,0.6666666666666666,0.6666666666666666
1070,0.023121387283236997,0.0,1.0
1071,0.19999999999999998,0.25,0.19999999999999998
1072,1.0,0.4,0.0
1073,1.0,1.0,1.0
1074,1.0,0.3636363636363636,1.0
1075,1.0,1.0,1.0
1076,1.0,1.0,1.0
1077,1.0,1.0,0.0
1078,1.0,1.0,1.0
1079,1.0,0.4,0.11764705882352941
108,1.0,1.0,1.0
1080,1.0,1.0,1.0
1081,0.0,0.0,1.0
1082,0.0,0.1090909090909091,0.0
1083,0.0,0.0,0.0
1084,0.0,0.01183431952662722,0.0
1085,0.6153846153846154,0.5714285714285715,0.10714285714285714
1086,1.0,1.0,1.0
1087,1.0,1.0,1.0
1088,1.0,1.0,1.0
1089,1.0,1.0,1.0
109,1.0,1.0,1.0
1090,1.0,1.0,0.0
1091,1.0,1.0,1.0
1092,1.0,1.0,0.2
1093,0.7499999999999999,0.7499999999999999,0.7499999999999999
1094,0.2857142857142857,0.0,0.2857142857142857
1095,1.0,1.0,1.0
1096,1.0,1.0,1.0
1097,0.0,0.0,0.0
1098,0.026666666666666665,0.07142857142857142,0.048780487804878044
1099,0.0,0.0,0.0
11,0.4,0.4,0.4
110,1.0,0.4,0.4
1100,0.0,0.0,0.0
1101,0.5,0.5,0.0
1102,1.0,1.0,1.0
1103,0.0,0.0,0.0
