qid,granite_dense,gte_dense,bm25
0,1.0,1.0,1.0
1,0.0,0.0,0.0
10,1.0,1.0,1.0
100,0.0,0.0,0.0
1000,0.0,1.0,0.0
1001,1.0,1.0,0.0
1002,1.0,1.0,1.0
1003,0.0,0.0,0.0
1004,1.0,1.0,1.0
1005,0.0,0.0,0.0
1006,1.0,1.0,0.0
1007,1.0,1.0,1.0
1008,1.0,1.0,0.0
1009,0.0,0.0,0.0
101,1.0,0.0,1.0
1010,1.0,1.0,1.0
1011,1.0,1.0,1.0
1012,0.0,0.0,0.0
1013,1.0,1.0,1.0
1014,1.0,1.0,0.0
1015,1.0,1.0,1.0
1016,1.0,1.0,1.0
1017,1.0,1.0,0.0
1018,0.0,0.0,0.0
1019,0.0,0.0,0.0
102,1.0,1.0,1.0
1020,1.0,1.0,1.0
1021,1.0,1.0,1.0
1022,1.0,1.0,1.0
1023,1.0,1.0,1.0
1024,1.0,1.0,1.0
1025,0.0,0.0,0.0
1026,1.0,1.0,1.0
1027,0.0,0.0,0.0
1028,1.0,1.0,1.0
1029,1.0,1.0,1.0
103,0.0,0.0,0.0
1030,0.0,0.0,0.0
1031,1.0,1.0,1.0
1032,0.0,0.0,0.0
1033,1.0,1.0,1.0
1034,1.0,0.0,0.0
1035,1.0,1.0,1.0
1036,1.0,1.0,1.0
1037,1.0,1.0,1.0
1038,1.0,1.0,1.0
1039,1.0,1.0,1.0
104,0.0,0.0,0.0
1040,1.0,1.0,0.0
1041,1.0,1.0,1.0
1042,1.0,1.0,1.0
1043,1.0,1.0,1.0
1044,1.0,1.0,1.0
1045,1.0,1.0,1.0
1046,1.0,1.0,1.0
1047,1.0,1.0,0.0
1048,1.0,1.0,1.0
1049,1.0,1.0,1.0
105,1.0,1.0,0.0
1050,1.0,1.0,1.0
1051,1.0,1.0,1.0
1052,0.0,0.0,0.0
1053,0.0,0.0,0.0
1054,1.0,1.0,1.0
1055,1.0,1.0,0.0
1056,1.0,1.0,1.0
1057,0.0,0.0,0.0
1058,1.0,1.0,0.0
1059,1.0,1.0,1.0
106,1.0,1.0,1.0
1060,1.0,1.0,1.0
1061,1.0,1.0,1.0
1062,1.0,1.0,1.0
1063,0.0,0.0,0.0
1064,1.0,1.0,1.0
1065,1.0,1.0,0.0
1066,1.0,1.0,1.0
1067,1.0,1.0,1.0
1068,1.0,1.0,0.0
1069,1.0,0.0,1.0
107,0.0,0.0,0.0
1070,0.0,0.0,1.0
1071,0.0,0.0,0.0
1072,1.0,0.0,0.0
1073,1.0,1.0,1.0
1074,1.0,0.0,1.0
1075,1.0,1.0,1.0
1076,1.0,1.0,1.0
1077,1.0,1.0,0.0
1078,1.0,1.0,1.0
1079,1.0,0.0,0.0
108,1.0,1.0,1.0
1080,1.0,1.0,1.0
1081,0.0,0.0,1.0
1082,0.0,0.0,0.0
1083,0.0,0.0,0.0
1084,0.0,0.0,0.0
1085,0.0,0.0,0.0
1086,1.0,1.0,1.0
1087,1.0,1.0,1.0
1088,1.0,1.0,1.0
1089,1.0,1.0,1.0
109,1.0,1.0,1.0
1090,1.0,1.0,0.0
1091,1.0,1.0,1.0
1092,1.0,1.0,0.0
1093,0.0,0.0,0.0
1094,0.0,0.0,0.0
1095,1.0,1.0,1.0
1096,1.0,1.0,1.0
1097,0.0,0.0,0.0
1098,0.0,0.0,0.0
1099,0.0,0.0,0.0
11,0.0,0.0,0.0
110,1.0,0.0,0.0
1100,0.0,0.0,0.0
1101,0.0,0.0,0.0
1102,1.0,1.0,1.0
1103,0.0,0.0,0.0
1104,1.0,1.0,1.0
1105,1.0,1.0,1.0
1106,0.0,0.0,0.0
1107,1.0,1.0,0.0
1108,0.0,0.0,0.0
1109,0.0,0.0,1.0
111,1.0,1.0,0.0
1110,0.0,0.0,1.0
1111,0.0,1.0,1.0
1112,0.0,0.0,0.0
1113,0.0,0.0,0.0
1114,1.0,1.0,1.0
1115,0.0,0.0,1.0
1116,1.0,1.0,1.0
