item_id,unit_type,query_id,arm,unit_index,question,text,source_span_text,atomic,self_contained,verifiable,unresolved_pronoun,span_aligned,rewrite_faithful,fact_coverage,fact_coverage_notes,error_type,notes
item-000310,a2_case,16881061444712536,old_old,1,Where does the amazon river start and finish?,The Amazon River starts at its headwaters in the Cordillera Rumi Cruz at the headwaters of the Mantaro River in Peru [1]. It finishes at the Atlantic Ocean [5]. [1][5],"- The Amazon River's headwaters are located in the Cordillera Rumi Cruz, at the Mantaro River in Peru.
- The Amazon River ends at the Atlantic Ocean.",NA,NA,NA,NA,NA,NA,complete,none,,
item-000010,a2_claim,-5942352520455511076,new_new,1,Where can adipose tissue be found in the body?,Adipose tissue exists beneath the skin as subcutaneous fat.,Adipose tissue is located beneath the skin (subcutaneous fat),1,1,NA,NA,1,1,NA,,,
item-000070,a1_sentence,-4286108617234818000,new,1,When does the new super troopers movie come out?,"""Super Troopers 2"" was released by Fox Searchlight Pictures on April 20, 2018 [1].",,1,1,1,0,NA,NA,NA,,,
item-000582,a2_claim,2469112227919120438,old_new,5,The creation of the senate was based on the?,The Senate's role evolved from temporary oversight to a permanent body.,later becoming permanent (evidence [3]),1,1,NA,NA,0,0,NA,,span_misaligned;meaning_changed,
item-000526,a2_claim,-8286966211355378010,old_new,2,What is the objective of tour de france?,The race consists of multiple single-day stages.,through a series of day-long stages,1,0,NA,NA,0,0,NA,,unresolved_reference;span_misaligned;meaning_changed,
item-000009,a2_case,-5942352520455511076,new_old,1,Where can adipose tissue be found in the body?,"Adipose tissue is located beneath the skin (subcutaneous fat) [1][4], around internal organs (visceral fat) [1][3], in bone marrow (yellow bone marrow) [1], intermuscularly [1], and in the breast tissue [1].","- Adipose tissue exists beneath the skin as subcutaneous fat.
- Adipose tissue surrounds internal organs as visceral fat.",NA,NA,NA,NA,NA,NA,partial,"lack of definition about adipose tissue in bone marrow, intermuscularly, and in the breast tissue",fact_omission,
item-000059,a2_case,586233275728240023,old_new,1,What is the os of samsung smart tv?,The OS of Samsung smart TVs is Tizen [1].,- Samsung smart TVs use the Tizen operating system.,NA,NA,NA,NA,NA,NA,complete,none,,
item-000102,a1_sentence,-99543908387769967,old,3,Who does sansa marry on game of thrones?,The evidence suggests that the most significant and final marriage depicted is with Tyrion Lannister.,,1,0,0,0,NA,NA,NA,,unresolved_reference;vague_unverifiable,
item-000478,a2_claim,2221044921312683785,old_old,1,When did the apple tv 4k come out?,"The Apple TV 4K was officially announced by Apple on September 12, 2017.","The Apple TV 4K was announced on September 12, 2017",1,1,NA,NA,1,0,NA,,meaning_changed,
item-000522,a2_claim,-8286966211355378010,old_old,3,What is the objective of tour de france?,The Tour de France is completed over a period of 23 days.,over 23 days,1,1,NA,NA,0,0,NA,,span_misaligned;meaning_changed,
item-000542,a2_claim,4150448921344430432,old_old,1,Who were the original twins in everybody loves raymond?,Matthew and Gregory were the original twins in the television show Everybody Loves Raymond.,The original twins in Everybody Loves Raymond were Matthew and Gregory,1,1,NA,NA,1,1,NA,,,
item-000333,a2_claim,-3904805932335139116,old_old,1,What was the daughter's name on the jetsons?,The name 'Judy' is mentioned in sources labeled 2 and 4.,Judy [2][4],NA,1,NA,NA,1,1,NA,,meta_nonclaim,
item-000447,a2_claim,3605104154738105404,old_new,1,What episode does jason gideon die in criminal minds?,"Jason Gideon is a character who dies in the TV show Criminal Minds in the Season 10 episode titled ""Nelson's Sparrow"".","Jason Gideon dies in the Season 10 episode ""Nelson's Sparrow""",1,1,NA,NA,1,1,NA,,,
item-000485,a2_claim,2221044921312683785,new_new,1,When did the apple tv 4k come out?,"The Apple TV 4K model was officially announced by Apple on September 12, 2017.","The 5th generation Apple TV, named Apple TV 4K, was announced on September 12, 2017",1,1,NA,NA,1,0,NA,,meaning_changed,
item-000417,a1_sentence,-4456614433280196572,new,1,What season does meredith and derek get married in grey's anatomy?,Meredith and Derek get married in season five [3].,,1,1,1,0,NA,NA,NA,,,
item-000233,a2_claim,6962706727076805207,old_new,1,What kind of car in to catch a thief?,"A bait car is a type of vehicle used in anti-theft operations, known by several names including decoy car, hot car, and trap car.","The kind of car used to catch a thief is called a bait car, also referred to as a decoy car, hot car, or trap car.",0,1,NA,NA,1,1,NA,,multi_fact,
item-000103,a1_sentence,-99543908387769967,old,4,Who does sansa marry on game of thrones?,[5],,NA,0,0,0,NA,NA,NA,,citation_only,
item-000611,a2_case,-1062522255440685408,new_new,1,When did the first generation kindle fire come out?,The first generation Kindle Fire was first released in November 2011 [1].,- The first generation Kindle Fire was launched in November 2011.,NA,NA,NA,NA,NA,NA,complete,none,,
item-000593,a2_case,-728189424752983312,old_old,1,Where did the term bye felicia come from?,"The term ""Bye, Felicia"" came from a scene in the American stoner buddy crime comedy film ""Friday"" (1995) [1]. It was originally used in that film and is attributed to Ice Cube, who starred in and co-wrote the script [1].","- The phrase ""Bye, Felicia"" originated in the 1995 film ""Friday"".
- Ice Cube, who starred and co-wrote ""Friday"", is credited with originating the phrase ""Bye, Felicia"".",NA,NA,NA,NA,NA,NA,partial,"lost modifying description ""American stoner buddy crime comedy film""",fact_omission,
item-000444,a1_sentence,3605104154738105404,old,1,What episode does jason gideon die in criminal minds?,"Jason Gideon dies in the Season 10 episode ""Nelson's Sparrow"" [1].",,1,1,1,0,NA,NA,NA,,,
item-000207,a2_claim,6514531923811923780,new_old,1,When does disney's food and wine festival end?,The festival concludes on November 13.,The Epcot International Food & Wine Festival ends on November 13,1,0,NA,NA,1,1,NA,,unresolved_reference,
item-000357,a1_sentence,-62521546794442829,new,1,For whom was the battle of king's mountain a victory?,The battle of King's Mountain was a victory for the Patriots [1][2][3].,,1,1,1,0,NA,NA,NA,,,
item-000364,a2_claim,-447198893588059167,old_old,1,Who played the father in leave it to beaver?,Hugh Beaumont portrayed the character Ward Cleaver in the television series Leave It to Beaver.,"Hugh Beaumont played the father, Ward Cleaver, in Leave It to Beaver.",1,1,NA,NA,1,1,NA,,,
item-000361,a2_case,-62521546794442829,new_new,1,For whom was the battle of king's mountain a victory?,The battle of King's Mountain was a victory for the Patriots [1][2][3].,- The Patriots won the Battle of King's Mountain.,NA,NA,NA,NA,NA,NA,complete,none,,
item-000088,a2_claim,-9141149438582194391,old_new,3,Who has scored the highest number of runs in test cricket?,"The player is the only one to have scored more than 30,000 runs across Tests, ODIs, and Twenty20s.","The evidence [2] indicates that the player with the highest number of runs in test cricket is the one who scored 15,921 runs in Tests, as well as 18,426 runs in One-Day Internationals.",1,0,NA,NA,0,0,NA,,unresolved_reference;span_misaligned;meaning_changed,
item-000224,a2_case,743600309736467122,new_new,1,When was on the revolutions of the heavenly spheres published?,"""On the Revolutions of the Heavenly Spheres"" was published in 1543 [1][4].","- The title of the work is 'On the Revolutions of the Heavenly Spheres'.
- The work was published in the year 1543.",NA,NA,NA,NA,NA,NA,complete,none,,
item-000426,a1_sentence,7494804303418493420,new,1,Movie with the song sunshine on my shoulders?,"The movie ""Sunshine"" aired on NBC in 1973 and used the song ""Sunshine on My Shoulders"" as its theme [1].",,0,1,1,0,NA,NA,NA,,multi_fact,
item-000215,a2_claim,743600309736467122,old_new,1,When was on the revolutions of the heavenly spheres published?,The title of the work is 'On the Revolutions of the Heavenly Spheres'.,On the Revolutions of the Heavenly Spheres,1,1,NA,NA,0,0,NA,,span_misaligned;meaning_changed,
item-000374,a2_claim,8433533625736230886,old_old,1,Who has won the most trophies man utd or liverpool?,Manchester United has won more trophies than any other football club.,Manchester United has won the most trophies,1,1,NA,NA,1,1,NA,,,
item-000017,a1_sentence,-7824075627194227170,old,2,When was the commission fir sc/st established?,This was the initial setup with Bhola Paswan Shastri as Chairman and other four Members [5].,,1,0,1,1,NA,NA,NA,,unresolved_reference,
item-000565,a2_case,6776234528515962047,new_old,1,Who is the most run in cricket history?,The evidence indicates that the most run scorer in cricket history is Sachin Tendulkar [4]. 1,- Sachin Tendulkar is recognized as the most run scorer in cricket history.,NA,NA,NA,NA,NA,NA,complete,none,,
item-000356,a2_case,-62521546794442829,old_new,1,For whom was the battle of king's mountain a victory?,The battle of King's Mountain was a victory for the Patriots [1][2][3][4].,- The Patriots won the Battle of King's Mountain.,NA,NA,NA,NA,NA,NA,complete,none,,
item-000034,a2_claim,-4649654703638364295,old_old,1,Who made it through the divisional finals world of dance?,"The Lab, Les Twins, Kinjaz, and Keone & Mari participated in the divisional finals of World of Dance.","The Lab, Les Twins, Kinjaz, and Keone & Mari made it through the divisional finals of World of Dance [3].",1,1,NA,NA,1,1,NA,,,
item-000430,a2_claim,7494804303418493420,new_new,1,Movie with the song sunshine on my shoulders?,"The movie ""Sunshine"" was broadcast on NBC television in the year 1973.","The movie ""Sunshine"" aired on NBC in 1973",1,1,NA,NA,1,1,NA,,,
item-000291,a2_claim,-5564120845047915486,new_old,1,Where do you find a simple gear train?,"The Antikythera mechanism, an ancient Greek device, contains a simple gear train.",A simple gear train can be found in the Antikythera mechanism of Greece,1,1,NA,NA,1,1,NA,,,
item-000109,a2_claim,-99543908387769967,old_new,3,Who does sansa marry on game of thrones?,Sansa Stark later marries Ramsay Bolton.,"However, there are multiple marriages mentioned in the evidence: she is initially set to marry Willas Tyrell [1], then later marries Ramsay Bolton [4], and finally agrees to marry Tyrion Lannister [5].",1,1,NA,NA,1,1,NA,,,
item-000222,a2_claim,743600309736467122,new_new,1,When was on the revolutions of the heavenly spheres published?,The title of the work is 'On the Revolutions of the Heavenly Spheres'.,On the Revolutions of the Heavenly Spheres,1,1,NA,NA,0,0,NA,,span_misaligned;meaning_changed,
item-000093,a1_sentence,-9141149438582194391,new,4,Who has scored the highest number of runs in test cricket?,[2],,NA,0,0,0,NA,NA,NA,,citation_only,
item-000194,a1_sentence,-2585133819352441604,new,1,Name of first episode of this is us?,"The first episode of This Is Us is called ""Remember"" [3].",,1,1,1,0,NA,NA,NA,,,
item-000546,a2_claim,4150448921344430432,old_new,2,Who were the original twins in everybody loves raymond?,Matthew and Gregory were later renamed to Geoffrey and Michael for the show's on-screen presentation.,They were later renamed to Geoffrey and Michael on screen,1,1,NA,NA,1,1,NA,,,
